modules/quantity,modules/capacity_gb,metadata/name,metadata/manufacturer,metadata/part_numbers/0,metadata/series,metadata/variant,speed,ram_type,form_factor,capacity,color/0,color/1,cas_latency,voltage,ecc,registered,heat_spreader,rgb,timings,metadata/last_manually_spec_verified_at,height,metadata/part_numbers/1,metadata/part_numbers/2,metadata/releaseYear,metadata/part_numbers/3,metadata/part_number,profile_support/0,profile_support/1
1,1,Kingston ValueRAM Green DDR2-667 CL5 1GB (1x1GB),Kingston,KVR667D2N5,ValueRAM,667 CL5,667,DDR2,240-pin DIMM,1,GREEN,,5,,Non-ECC,Unbuffered,FALSE,FALSE,,,,1G,KVR667D2N5/1G,,,,,
2,16,Klevv Urbane V RGB White DDR5-6000 CL30 32GB (2x16GB),Klevv,KD5AGUA80-60A300M,Urbane,6000 CL30,6000,DDR5,288-pin DIMM,32,WHITE,,30,1.35,Non-ECC,Unbuffered,TRUE,TRUE,30-36-36-76,2025-12-06T03:37:58.942Z,42.5,,,,,,,
2,16,TEAMGROUP T-Force Dark Za Black / Silver DDR4-3600 CL18 32GB (2x16GB),TEAMGROUP,TDZAD432G3600HC18JDC01,T-Force,3600 CL18,3600,DDR4,288-pin DIMM,32,BLACK,GREY,18,,Non-ECC,Unbuffered,TRUE,FALSE,18-22-22-42,,,,,,,,,
1,4,Samsung M378B5273EB0-CK0 Green DDR3-1600 CL11 4GB (1x4GB),Samsung,M378B5273EB0-CK0,M378B5273EB0-CK0,1600 CL11,1600,DDR3,240-pin DIMM,4,GREEN,,11,,Non-ECC,Unbuffered,FALSE,FALSE,,,,,,,,,,
2,8,Klevv CRAS X RGB Black DDR4-3200 CL16 16GB (2x8GB),Klevv,KD48GU880-32A160X,CRAS,3200 CL16,3200,DDR4,288-pin DIMM,16,BLACK,,16,,Non-ECC,Unbuffered,TRUE,TRUE,16-18-18-38,,,,,,,,,
2,48,GeIL EVO V RGB White DDR5-6800 CL36 96GB (2x48GB),GeIL,GESW596GB6800C36BDC,EVO,6800 CL36,6800,DDR5,288-pin DIMM,96,WHITE,,36,,Non-ECC,Unbuffered,TRUE,TRUE,36-44-44-86,,,,,,,,,
2,16,Crucial Ballistix Black DDR4-3200 CL16 32GB (2x16GB),Crucial,BL2K16G32C16U4BL,Ballistix,3200 CL16,3200,DDR4,288-pin DIMM,32,BLACK,,16,,Non-ECC,Unbuffered,TRUE,FALSE,,,,,,,,,,
2,24,Klevv CRAS V RGB White DDR5-8000 CL38 48GB (2x24GB),Klevv,KD5KGUD80-80D380J,CRAS,8000 CL38,8000,DDR5,288-pin DIMM,48,WHITE,,38,1.45,Non-ECC,Unbuffered,TRUE,TRUE,38-48-48-128,2025-12-04T22:32:38.800Z,44,,,,,,,
2,8,G.Skill Trident Black DDR4-4400 CL19 16GB (2x8GB),G.SKILL,F4-4400C19D-16GTZKK,Trident,4400 CL19,4400,DDR4,288-pin DIMM,16,BLACK,,19,,Non-ECC,Unbuffered,TRUE,FALSE,19-19-19-39,,,,,,,,,
2,32,Klevv CRAS V RGB White DDR5-6000 CL30 64GB (2x32GB),Klevv,KD5BGUA80-60A300J,CRAS,6000 CL30,6000,DDR5,288-pin DIMM,64,WHITE,,30,1.35,Non-ECC,Unbuffered,TRUE,TRUE,30-36-36-76,2025-12-06T04:13:27.242Z,44,KD5KGUD80-60A300G-BLACK,,,,,,
2,16,ADATA XPG Lancer Blade White DDR5-6000 CL30 32GB (2x16GB),ADATA,AX5U6000C3016GÅEÄÅEDTLABWH,XPG,6000 CL30,6000,DDR5,288-pin DIMM,32,WHITE,,30,,Non-ECC,Unbuffered,TRUE,FALSE,,,,AX5U6000C3016G-DTLABWH,,,,,,
1,4,Patriot PSD34G160081 Green DDR3-1600 CL11 4GB (1x4GB),Patriot,PSD34G160081,PSD34G160081,1600 CL11,1600,DDR3,240-pin DIMM,4,GREEN,,11,,Non-ECC,Unbuffered,FALSE,FALSE,,,,,,,,,,
2,4,Kingston HyperX Fury Black DDR4-3200 CL18 8GB (2x4GB),Kingston,HX432C18FBK2,HyperX,3200 CL18,3200,DDR4,288-pin DIMM,8,BLACK,,18,,Non-ECC,Unbuffered,TRUE,FALSE,,,,8,,,,,,
2,8,Silicon Power DDR5 16GB (2x8GB) Zenith RGB 5600MHz CL40 WHITE,Silicon Power,SP032GXLWU560FDH,XPOWER Zenith RGB,5600 CL40,5600,DDR5,288-pin DIMM,16,WHITE,,40,1.25,Non-ECC,Unbuffered,TRUE,TRUE,40-40-40-76,2025-11-08T15:07:13.266Z,38.6,,,,,,,
2,16,Klevv CRAS V RGB Black DDR5-7200 CL34 32GB (2x16GB),Klevv,KD5AGUA80-72B340G,CRAS,7200 CL34,7200,DDR5,288-pin DIMM,32,BLACK,,34,1.4,Non-ECC,Unbuffered,TRUE,TRUE,34-44-44-84,2025-12-04T20:51:29.393Z,44,,,,,,,
4,4,Kingston HyperX Fury Black / Silver DDR4-2400 CL15 16GB (4x4GB),Kingston,HX424C15FBK4,HyperX,2400 CL15,2400,DDR4,288-pin DIMM,16,BLACK,GREY,15,,Non-ECC,Unbuffered,TRUE,FALSE,,,,16,,,,,,
2,16,Crucial CT2K16G4DFD8266 Green / Black DDR4-2666 CL19 32GB (2x16GB),Crucial,CT2K16G4DFD8266,CT2K16G4DFD8266,2666 CL19,2666,DDR4,288-pin DIMM,32,GREEN,BLACK,19,,Non-ECC,Unbuffered,FALSE,FALSE,,,,,,,,,,
2,16,Corsair Dominator Platinum RGB Black DDR5-6600 CL32 32GB (2x16GB),Corsair,CMT32GX5M2X6600C32,Dominator,6600 CL32,6600,DDR5,288-pin DIMM,32,BLACK,,32,,Non-ECC,Unbuffered,TRUE,TRUE,32-32-39-76,,,,,,,,,
2,24,Corsair Dominator Titanium DDR5-7600 CL36 48GB (2x24GB),Corsair,CMP48GX5M2X7600C36,Dominator,7600 CL36,7600,DDR5,288-pin DIMM,48,BLACK,,36,,Non-ECC,Unbuffered,TRUE,TRUE,36-46-46-96,,,,,,,,,
2,4,Patriot Viper 4 Black / Red DDR4-3000 CL16 8GB (2x4GB),Patriot,PV48G300C6K,Viper,3000 CL16,3000,DDR4,288-pin DIMM,8,BLACK,RED,16,,Non-ECC,Unbuffered,TRUE,FALSE,16-16-16-36,,,,,,,,,
2,32,G.Skill Ripjaws Black DDR4-4400 CL19 64GB (2x32GB),G.SKILL,F4-4400C19D-64GVK,Ripjaws,4400 CL19,4400,DDR4,288-pin DIMM,64,BLACK,,19,,Non-ECC,Unbuffered,TRUE,FALSE,19-26-26-46,,,,,,,,,
2,16,Kingston FURY Beast RGB Black DDR5-6000 CL30 32GB (2x16GB),Kingston,KF560C30BBEAK2-32,FURY,6000 CL30,6000,DDR5,288-pin DIMM,32,BLACK,,30,,Non-ECC,Unbuffered,TRUE,TRUE,,,,,,,,,,
2,16,Acer Predator Hera RGB Black DDR5-6400 CL32 32GB (2x16GB),Acer,BL.9BWWR.475                                                    HERA-32GB-6400-1R8-V2,Predator,6400 CL32,6400,DDR5,288-pin DIMM,32,BLACK,,32,,Non-ECC,Unbuffered,TRUE,TRUE,32-39-39-102,,,,,,,,,
1,8,Crucial Ballistix Sport LT Silver / Black DDR4-3200 CL16 8GB (1x8GB),Crucial,BLS8G4D32AESBK,Ballistix,3200 CL16,3200,DDR4,288-pin DIMM,8,GREY,BLACK,16,,Non-ECC,Unbuffered,TRUE,FALSE,,,,,,,,,,
2,16,G.Skill Trident Z5 Neo RGB Black DDR5-6400 CL30 32GB (2x16GB),G.SKILL,F5-6400J3039G16GX2-TZ5RK,Trident,6400 CL30,6400,DDR5,288-pin DIMM,32,BLACK,,30,,Non-ECC,Unbuffered,TRUE,TRUE,30-39-39-102,,,,,,,,,
2,32,G.Skill Trident Z White / Black DDR5-5600 CL30 64GB (2x32GB),G.SKILL,F5-5600J3036D32GA2-TZ5S,Trident,5600 CL30,5600,DDR5,288-pin DIMM,64,WHITE,BLACK,30,,Non-ECC,Unbuffered,TRUE,FALSE,30-36-36-89,,,,,,,,,
2,8,Gigabyte AORUS RGB DDR4-3733 CL18 16GB (2x8GB),GIGABYTE,GP-ARS16G37,AORUS,3733 CL18,3733,DDR4,288-pin DIMM,16,GREY,,18,,Non-ECC,Unbuffered,TRUE,TRUE,18-22-22-42,,,,,,,,,
2,32,TEAMGROUP T-Force Delta RGB DDR4 64GB (2x32GB) 2666MHz CL18 WHITE,TEAMGROUP,TF4D464G2666HC18HDC01,T-Force,Delta RGB White DDR4,2666,DDR4,288-pin DIMM,64,WHITE,,18,1.2,Non-ECC,Unbuffered,TRUE,TRUE,18-18-18-43,2025-09-22T20:51:52.651Z,,,,,,,,
2,16,TEAMGROUP Xtreem ARGB Black DDR5-6000 CL30 32GB (2x16GB),TEAMGROUP,FF9D532G6000HC30DC01,Xtreem,6000 CL30,6000,DDR5,288-pin DIMM,32,BLACK,,30,,Non-ECC,Unbuffered,TRUE,TRUE,,,,,,,,,,
1,8,Silicon Power SP008GBLTU160N02 Black / Green DDR3-1600 CL11 8GB (1x8GB),Silicon Power,SP008GBLTU160N02,SP008GBLTU160N02,1600 CL11,1600,DDR3,240-pin DIMM,8,BLACK,GREEN,11,,Non-ECC,Unbuffered,FALSE,FALSE,,,,,,,,,,
1,32,TEAMGROUP T-Force VulcanŒ± Black DDR5-5600 CL38 32GB (1x32GB),TEAMGROUP,FLABD532G5600HC38G01,T-Force,5600 CL38,5600,DDR5,288-pin DIMM,32,BLACK,,38,,Non-ECC,Unbuffered,TRUE,FALSE,,,,,,,,,,
2,16,Patriot Viper Elite 5 Ultra Black DDR5-6000 CL28 32GB (2x16GB),Patriot,VEU532G6028K,Viper,6000 CL28,6000,DDR5,288-pin DIMM,32,BLACK,,28,,Non-ECC,Unbuffered,TRUE,FALSE,28-40-40-100,,,,,,,,,
2,24,Corsair Dominator Titanium Black DDR5-7200 CL36 48GB (2x24GB),Corsair,CMP48GX5M2X7200C36,Dominator,7200 CL36,7200,DDR5,288-pin DIMM,48,BLACK,,36,,Non-ECC,Unbuffered,TRUE,TRUE,36-46-46-116,,,,,,,,,
2,8,G.Skill TridentZ RGB DDR4-4000 CL17 16GB (2x8GB),G.SKILL,F4-4000C17D-16GTZR,TridentZ,4000 CL17,4000,DDR4,288-pin DIMM,16,BLACK,,17,,Non-ECC,Unbuffered,TRUE,TRUE,17-17-17-37,,,,,,,,,
2,8,Patriot Viper Steel Silver / Black DDR4-3733 CL17 16GB (2x8GB),Patriot,PVS416G373C7K,Viper,3733 CL17,3733,DDR4,288-pin DIMM,16,GREY,BLACK,17,,Non-ECC,Unbuffered,TRUE,FALSE,17-21-21-41,,,,,,,,,
2,24,G.Skill Trident Z5 Royal DDR5-8400 CL40 48GB (2x24GB),G.SKILL,F5-8400J4052G24GX2-TR5G,Trident,8400 CL40,8400,DDR5,288-pin DIMM,48,GOLD,,40,,Non-ECC,Unbuffered,TRUE,TRUE,40-52-52-134,,,,,,,,,
1,8,Klevv CRAS X RGB Black DDR4-3200 CL16 8GB (1x8GB),Klevv,KD48GU880-32A160W,CRAS,3200 CL16,3200,DDR4,288-pin DIMM,8,BLACK,,16,,Non-ECC,Unbuffered,TRUE,TRUE,16-18-18-38,,,,,,,,,
4,24,V-Color TRA524G76S838R3Q White Registered DDR5-7600 CL38 96GB (4x24GB),v-color,TRA524G76S838R3Q,TRA524G76S838R3Q,7600 CL38,7600,DDR5,288-pin DIMM,96,WHITE,,38,,Non-ECC,Unbuffered,TRUE,FALSE,38-48-48-122,,,,,,,,,
1,4,Crucial CT51264BD160BJ Black / Green DDR3-1600 CL11 4GB (1x4GB),Crucial,CT51264BD160BJ,CT51264BD160BJ,1600 CL11,1600,DDR3,240-pin DIMM,4,BLACK,GREEN,11,,Non-ECC,Unbuffered,FALSE,FALSE,,,,,,,,,,
4,16,Crucial CT4K16G4DFD8266 Green DDR4-2666 CL19 64GB (4x16GB),Crucial,CT4K16G4DFD8266,CT4K16G4DFD8266,2666 CL19,2666,DDR4,288-pin DIMM,64,GREEN,,19,,Non-ECC,Unbuffered,FALSE,FALSE,,,,,,,,,,
1,8,Kingston HyperX Fury Black DDR4-2666 CL16 8GB (1x8GB),Kingston,HX426C16FB3,HyperX,2666 CL16,2666,DDR4,288-pin DIMM,8,BLACK,,16,,Non-ECC,Unbuffered,TRUE,FALSE,,,,8,HX426C16FB3/8,,HX426C16FB2/8,,,
1,2,Kingston ValueRAM Green DDR2-800 CL6 2GB (1x2GB),Kingston,KVR800D2N6,ValueRAM,800 CL6,800,DDR2,240-pin DIMM,2,GREEN,,6,,Non-ECC,Unbuffered,FALSE,FALSE,,,,2G,KVR800D2N6/2G,,KVR800D2N6/2G-SP,,,
4,16,Kingston ValueRAM Registered Black / Green DDR4-2133 CL15 64GB (4x16GB),Kingston,KVR21R15D4K4,ValueRAM,2133 CL15,2133,DDR4,288-pin DIMM,64,BLACK,GREEN,15,,Non-ECC,Unbuffered,FALSE,FALSE,,,,64I,KVR21R15D4K4/64I,,,,,
2,16,G.Skill Trident Z Black DDR5-6000 CL40 32GB (2x16GB),G.SKILL,F5-6000U4040E16GA2-TZ5K,Trident,6000 CL40,6000,DDR5,288-pin DIMM,32,BLACK,,40,,Non-ECC,Unbuffered,TRUE,FALSE,40-40-40-76,,,,,,,,,
2,32,Silicon Power XPOWER Storm RGB Black DDR5-7600 CL36 64GB (2x32GB),Silicon Power,SP064GXLWU760FDK,XPOWER,7600 CL36,7600,DDR5,288-pin DIMM,64,BLACK,,36,,Non-ECC,Unbuffered,TRUE,TRUE,36-46-46-121,,,,,,,,,
1,4,Corsair Vengeance Black / Blue DDR3-1600 CL9 4GB (1x4GB),Corsair,CMZ4GX3M1A1600C9B,Vengeance,1600 CL9,1600,DDR3,240-pin DIMM,4,BLACK,BLUE,9,,Non-ECC,Unbuffered,TRUE,FALSE,9-9-9-24,,,,,,,,,
