cores/total,cores/performance,cores/threads,clocks/performance/base,clocks/performance/boost,cache/l2,cache/l3,specifications/integratedGraphics/model,specifications/memory/maxSupport,specifications/tdp,specifications/eccSupport,specifications/includesCooler,specifications/packaging,specifications/lithography,specifications/simultaneousMultithreading,metadata/name,metadata/manufacturer,metadata/series,series,microarchitecture,coreFamily,socket,specifications/memory/types/0,metadata/part_numbers/1,clocks/efficiency/base,clocks/efficiency/boost,specifications/memory/types/1,cores/efficiency,cache/l1,specifications/integratedGraphics/baseClock,specifications/integratedGraphics/boostClock,specifications/integratedGraphics/shaderCount,specifications/memory/channels,metadata/releaseYear,general_product_information/bestbuy_sku,metadata/part_numbers/2,metadata/variant,metadata/last_manually_spec_verified_at,metadata/vendor,metadata/part_numbers/3,metadata/part_numbers/4
20,,28,2.1,5.4,28,33,Intel UHD Graphics 770,192,65,TRUE,TRUE,Boxed,7 nm,TRUE,Intel Core i7 14700 2.1 GHz 20-Core LGA1700,Intel,Intel Core i7,Intel Core i7,Raptor Lake Refresh,Raptor Lake Refresh,LGA 1700,DDR5,14700,1.5,4.2,DDR4,,,,,,,,,,,,,,
8,8,16,2.7,3.3,2,20,None,0,130,TRUE,FALSE,Boxed,32 nm,TRUE,Intel Xeon E5 4650 2.7 GHz 8-Core LGA2011,Intel,Intel Xeon E5,Intel Xeon E5,Sandy Bridge,Sandy Bridge-EP,LGA 2011,,,,,,,,,,,,,,,,,,,
20,,20,3.9,5.5,36,30,Intel Xe Graphics,256,125,TRUE,FALSE,Boxed,3 nm,FALSE,Intel Core Ultra 7 265K 3.9 GHz 20-Core LGA1851,Intel,Intel Core Ultra 7,Intel Core Ultra 7,Arrow Lake,Arrow Lake,LGA 1851,DDR5,Intelﾂｮ Core・・｢ Ultra 7,3.3,4.6,,,,,,,,,6602214,,,,,,
8,8,16,4.2,5,8,96,AMD Radeon,128,120,TRUE,FALSE,Boxed,5 nm,TRUE,AMD Ryzen 7 7800X3D 4.2 GHz 8-Core AM5,AMD,AMD Ryzen 7,AMD Ryzen 7,Zen 4,Raphael,AM5,DDR5,AMD Ryzen 7 7800X3D,,,,,,,,,,,6537139,,,,,,
4,4,8,3.6,4,1,8,None,64,80,TRUE,FALSE,OEM/Tray,14 nm,TRUE,Intel Xeon E3 1270 V5 3.6 GHz 4-Core LGA1151 OEM/Tray,Intel,Intel Xeon E3,Intel Xeon E3,Skylake,Skylake-H,LGA 1151,,,,,,,,,,,,,,,,,,,
4,4,4,3.8,4.1,4,0,None,0,100,FALSE,TRUE,Boxed,32 nm,FALSE,AMD Athlon X4 760K 3.8 GHz 4-Core FM2,AMD,AMD Athlon X4,AMD Athlon X4,Piledriver,Richland,FM2,,AD860KXBJASBX,,,,,,,,,,,,,,,,,
14,14,28,2.4,3.3,5,35,None,1536,120,TRUE,FALSE,Boxed,14 nm,TRUE,Intel Xeon E5 2680 V4 2.4 GHz 14-Core LGA2011-3,Intel,Intel Xeon E5,Intel Xeon E5,Broadwell,Broadwell-EP,LGA 2011-3,,,,,,,,,,,,,,,,,,,
4,4,8,3.6,4.2,1,8,Intel HD Graphics 630,64,65,FALSE,TRUE,Boxed,14 nm,TRUE,Intel Core i7 7700 3.6 GHz 4-Core LGA1151,Intel,Intel Core i7,Intel Core i7,Kaby Lake,Kaby Lake-S,LGA 1151,,,,,,,,,,,,,,,,,,,
8,8,16,3.1,5,2,16,Intel UHD Graphics 630,128,65,FALSE,TRUE,Boxed,14 nm,TRUE,Intel Core i9 9900 3.1 GHz 8-Core LGA1151,Intel,Intel Core i9,Intel Core i9,Coffee Lake Refresh,Coffee Lake Refresh,LGA 1151,,i9-9900,,,,,,,,,,,6347262,,,,,,
12,12,24,2.9,4.4,12,5,None,128,140,FALSE,FALSE,Boxed,14 nm,TRUE,Intel Core i9 7920X 2.9 GHz 12-Core LGA2066,Intel,Intel Core i9,Intel Core i9,Skylake,Skylake-X,LGA 2066,,,,,,,,,,,,,,,,,,,
4,0,4,3.6,0,1,6,Intel UHD Graphics 630,64,65,TRUE,TRUE,Boxed,14 nm,FALSE,Intel Core i3-8100,,,Intel Core i3,Coffee Lake,Coffee Lake,LGA 1151,DDR4,,0,0,,0,64 KB (per core),350,1100,0,2,2017,6162970,,,,,,
12,12,24,2.2,2.9,3,30,None,768,105,TRUE,FALSE,OEM/Tray,22 nm,TRUE,Intel Xeon E5 2658 V3 2.2 GHz 12-Core LGA2011-3,Intel,Intel Xeon E5,Intel Xeon E5,Haswell,Haswell-EP,LGA 2011-3,,,,,,,,,,,,,,,,,,,
16,16,32,4.2,5.7,16,128,AMD Radeon,128,120,TRUE,FALSE,Boxed,5 nm,TRUE,AMD Ryzen 9 7950X3D 4.2 GHz 16-Core AM5,AMD,AMD Ryzen 9,AMD Ryzen 9,Zen 4,Raphael,AM5,DDR5,AMD Ryzen 9 7950X3D,,,,,,,,,,,6537138,,,,,,
6,6,6,3.6,4.3,5,9,Intel UHD Graphics 630,128,95,FALSE,FALSE,Boxed,14 nm,FALSE,Intel Core i5 8600K 3.6 GHz 6-Core LGA1151,Intel,Intel Core i5,Intel Core i5,Coffee Lake,Coffee Lake,LGA 1151,,,,,,,,,,,,,,,,,,,
16,,24,2.4,5.1,14,30,None,128,65,FALSE,TRUE,Boxed,10 nm,TRUE,Intel Core i9 12900F 2.4 GHz 16-Core LGA1700,Intel,Intel Core i9,Intel Core i9,Alder Lake,Alder Lake,LGA 1700,DDR5,,1.8,3.8,DDR4,,,,,,,,,,,,,,
2,2,2,3.5,3.9,1,0,None,0,65,FALSE,FALSE,OEM/Tray,32 nm,FALSE,AMD Athlon X2 350 3.5 GHz 2-Core FM2 OEM/Tray,AMD,AMD Athlon X2,AMD Athlon X2,Piledriver,Richland,FM2,,,,,,,,,,,,,,,,,,,
16,16,32,3.1,4.4,16,22,None,128,165,FALSE,FALSE,Boxed,14 nm,TRUE,Intel Core i9 9960X 3.1 GHz 16-Core LGA2066,Intel,Intel Core i9,Intel Core i9,Skylake,Skylake-X,LGA 2066,,,,,,,,,,,,,,,,,,,
4,4,4,3,3.5,1,8,None,64,72,TRUE,FALSE,OEM/Tray,14 nm,FALSE,Intel Xeon E3 E3-1220 V6 OEM/Tray 3 GHz 4-Core LGA1151,Intel,Intel Xeon E3,Intel Xeon E3,Kaby Lake,Kaby Lake-S,LGA 1151,,,,,,,,,,,,,,,,,,,
6,,12,4.1,5,6,16,AMD Radeon 740M,0,65,FALSE,TRUE,Boxed,4 nm,TRUE,AMD Ryzen 5 8500G 4.1 GHz 6-Core AM5,AMD,AMD Ryzen 5,AMD Ryzen 5,Zen 4,Phoenix 2,AM5,DDR5,AMD Ryzen・・｢ 5 8500G,3.2,3.7,,,,,,,,,6573541,Ryzen 5 8500G,,,,,
12,12,24,2.5,3.3,3,30,None,0,120,TRUE,FALSE,OEM/Tray,22 nm,TRUE,Intel Xeon E5 2680 V3 2.5 GHz 12-Core LGA2011-3 OEM/Tray,Intel,Intel Xeon E5,Intel Xeon E5,Haswell,Haswell-EP,LGA 2011-3,,,,,,,,,,,,,,,,,,,
4,4,4,3.3,3.7,4,0,AMD Radeon R7 (on-die),0,95,FALSE,TRUE,Boxed,28 nm,FALSE,AMD A8 A8-7650K 3.3 GHz 4-Core FM2+,AMD,AMD A8,AMD A8,Steamroller,Kaveri,FM2+,,,,,,,,,,,,,,,,,,,
4,4,4,3.3,3.7,4,0,AMD Radeon R7 (on-die),0,95,FALSE,TRUE,Boxed,28 nm,FALSE,AMD A 8 A8-7650K 3.3 GHz 4-Core FM2+,AMD,AMD A8,AMD A8,Steamroller,Kaveri,FM2+,,,,,,,,,,,,,,,,,,,
8,8,16,2.5,4.9,,16,Intel UHD Graphics 750,128,65,FALSE,FALSE,,14 nm,TRUE,Intel Core i7-11700,,,Intel Core i7,Rocket Lake,,LGA 1200,DDR4,,,,,0,,350,1.3,0,2,2021,6452219,,,,,,
2,2,2,4,4.2,1,0,AMD Radeon HD 8000 Series,0,65,FALSE,TRUE,Boxed,32 nm,FALSE,AMD A-Series A6-6420K 4 GHz 2-Core FM2,AMD,AMD A6,AMD A6,Piledriver,Richland,FM2,,,,,,,,,,,,,,,,,,,
8,8,16,2.6,3.4,2,20,None,0,90,TRUE,FALSE,Boxed,22 nm,TRUE,Intel Xeon E5 2640 V3 2.6 GHz 8-Core LGA2011-3,Intel,Intel Xeon E5,Intel Xeon E5,Haswell,Haswell-EP,LGA 2011-3,,E5-2640 v3,,,,,,,,,,,,SR205,,,,,
6,6,12,3.4,3.6,5,15,None,0,140,FALSE,FALSE,Boxed,14 nm,TRUE,Intel Core i7 6800K 3.4 GHz 6-Core LGA2011-3,Intel,Intel Core i7,Intel Core i7,Broadwell,Broadwell-E,LGA 2011-3,,,,,,,,,,,,,,,,,,,
12,12,24,3.5,4,6,32,None,1024,180,TRUE,FALSE,Boxed,14 nm,TRUE,AMD Threadripper Threadripper 1920X 3.5 GHz 12-Core sTR4,AMD,AMD Threadripper,AMD Threadripper,Zen,Whitehaven,TR4,,,,,,,,,,,,,,,,,,,
4,4,4,3.7,4.3,1,8,Intel UHD Graphics 630,64,62,TRUE,TRUE,Boxed,14 nm,FALSE,Intel Core i3 9300 3.7 GHz 4-Core LGA1151,Intel,Intel Core i3,Intel Core i3,Coffee Lake Refresh,Coffee Lake Refresh,LGA 1151,,,,,,,,,,,,,,,,,,,
4,4,4,2.7,3.3,1,6,Intel HD Graphics 630,64,35,FALSE,TRUE,Boxed,14 nm,FALSE,Intel Core i5 7500T 2.7 GHz 4-Core LGA1151,Intel,Intel Core i5,Intel Core i5,Kaby Lake,Kaby Lake-S,LGA 1151,,,,,,,,,,,,,,,,,,,
4,4,4,3.7,4.3,1,8,Intel UHD Graphics 630,64,62,TRUE,FALSE,OEM/Tray,14 nm,FALSE,Intel Core i3 9300 3.7 GHz 4-Core LGA1151 OEM/Tray,Intel,Intel Core i3,Intel Core i3,Coffee Lake Refresh,Coffee Lake Refresh,LGA 1151,,,,,,,,,,,,,,,,,,,
6,6,12,3.5,4.5,5,12,Intel HD Graphics P630,64,80,TRUE,FALSE,OEM/Tray,14 nm,TRUE,Intel Xeon E 2146G 3.5 GHz 6-Core LGA1151 OEM/Tray,Intel,Intel Xeon E,Intel Xeon E,Coffee Lake,Coffee Lake,LGA 1151,,,,,,,,,,,,,,,,,,,
10,10,20,3.7,5.3,5,20,Intel UHD Graphics 630,128,125,FALSE,FALSE,Boxed,14 nm,TRUE,Intel Core i9 10900K 3.7 GHz 10-Core LGA1200,Intel,Intel Core i9,Intel Core i9,Comet Lake,Comet Lake,LGA 1200,,,,,,,,,,,,,,,,,,,
6,6,6,2.3,3.7,5,9,Intel UHD Graphics 630,128,35,FALSE,FALSE,OEM/Tray,14 nm,FALSE,Intel Core i5 8600T 2.3 GHz 6-Core LGA1151 OEM/Tray,Intel,Intel Core i5,Intel Core i5,Coffee Lake,Coffee Lake,LGA 1151,,,,,,,,,,,,,,,,,,,
4,4,8,3.7,4.2,2,4,AMD Radeon Vega 11,64,65,FALSE,TRUE,Boxed,12 nm,TRUE,AMD Ryzen 5 3400G 3.7 GHz 4-Core AM4,AMD,AMD Ryzen 5,AMD Ryzen 5,Zen+,Picasso,AM4,DDR4,Ryzen 5 3400G,,,,,,,,,,,6356646,,,,,,
8,8,16,2.4,3.2,2,20,None,0,85,TRUE,FALSE,OEM/Tray,22 nm,TRUE,Intel Xeon E5 2630 V3 2.4 GHz 8-Core LGA2011-3,Intel,Intel Xeon E5,Intel Xeon E5,Haswell,Haswell-EP,LGA 2011-3,,,,,,,,,,,,,,,,,,,
6,6,12,3.8,5.1,6,32,AMD Radeon,128,65,TRUE,FALSE,OEM/Tray,5 nm,TRUE,AMD Ryzen 5 PRO 7645 3.8 GHz 6-Core AM5 OEM/Tray,AMD,AMD Ryzen 5 PRO,AMD Ryzen 5 PRO,Zen 4,Raphael,AM5,DDR5,,,,,,,,,,,,,,,,,,
8,8,16,3.2,4.1,4,16,None,64,65,FALSE,FALSE,OEM/Tray,12 nm,TRUE,AMD Ryzen 7 2700 3.2 GHz 8-Core AM4 OEM/Tray,AMD,AMD Ryzen 7,AMD Ryzen 7,Zen+,Pinnacle Ridge,AM4,DDR4,,,,,,,,,,,,,,,,,,
14,,14,4.2,5.2,26,24,None,256,125,FALSE,FALSE,Boxed,3 nm,FALSE,Intel Core Ultra 5 245KF 4.2 GHz 14-Core LGA1851,Intel,Intel Core Ultra 5,Intel Core Ultra 5,Arrow Lake,Arrow Lake,LGA 1851,DDR5,Intel Core Ultra 5 245KF,3.6,4.6,,,,,,,,,,,,,,,
14,14,28,3.3,4.4,14,25,None,128,165,FALSE,FALSE,Boxed,14 nm,TRUE,Intel Core i9 9940X 3.3 GHz 14-Core LGA2066,Intel,Intel Core i9,Intel Core i9,Skylake,Skylake-X,LGA 2066,,I9-9940X,,,,,,,,,,,,,,,,,
6,6,12,3.8,5.1,6,32,AMD Radeon,128,65,TRUE,TRUE,Boxed,5 nm,TRUE,AMD Ryzen 5 7600 3.8 GHz 6-Core AM5,AMD,AMD Ryzen 5,AMD Ryzen 5,Zen 4,Raphael,AM5,DDR5,100-00001015BOX,,,,,,,,,,,6530445,,,,,,
6,6,12,3.4,4.8,5,12,None,128,80,TRUE,FALSE,Boxed,14 nm,TRUE,Intel Xeon E 2236 3.4 GHz 6-Core LGA1151,Intel,Intel Xeon E,Intel Xeon E,Coffee Lake Refresh,Coffee Lake Refresh,LGA 1151,,,,,,,,,,,,,,,,,,,
4,4,4,4,4.3,4,0,AMD Radeon HD 8670D,0,100,FALSE,TRUE,Boxed,32 nm,FALSE,AMD A10 A10 A10-6790K 4 GHz 4-Core FM2,AMD,AMD A10,AMD A10,Piledriver,Richland,FM2,,,,,,,,,,,,,,,,,,,
8,8,16,3.4,4.5,4,96,None,128,105,FALSE,FALSE,Boxed,7 nm,TRUE,AMD Ryzen 7 5800X3D 3.4 GHz 8-Core AM4,AMD,AMD Ryzen 7,AMD Ryzen 7,Zen 3,Vermeer-X,AM4,DDR4,730143313797 (or) 100-000000651,,,,,,,,,,,6510767,,,,,,
24,,32,3,6,32,36,Intel UHD Graphics 770,192,150,TRUE,FALSE,Boxed,10 nm,TRUE,Intel Core i9 13900KS 3.0 GHz 24-Core LGA1700,Intel,Intel Core i9,Intel Core i9,Raptor Lake,Raptor Lake,LGA 1700,DDR5,i9-13900KS,2.4,4.3,DDR4,,,,,,,,,,,,,,
6,6,12,3.7,4,5,15,None,0,130,TRUE,FALSE,OEM/Tray,22 nm,TRUE,Intel Xeon E5 1660 V2 3.7 GHz 6-Core LGA2011 OEM/Tray,Intel,Intel Xeon E5,Intel Xeon E5,Ivy Bridge,Ivy Bridge-EP,LGA 2011,,,,,,,,,,,,,,,,,,,
18,18,36,3,4.8,18,75,None,256,165,FALSE,FALSE,Boxed,14 nm,TRUE,Intel Core i9 10980XE 3 GHz 18-Core LGA2066,Intel,Intel Core i9,Intel Core i9,Cascade Lake,Cascade Lake-X,LGA 2066,,BX8069510920X,,,,,,,,,,,,,,,,,
4,4,4,3.7,4,4,0,AMD Radeon R7 (on-die),0,95,FALSE,FALSE,OEM/Tray,28 nm,FALSE,AMD A10 Pro 7850B 3.7 GHz 4-Core FM2+,AMD,AMD A10,AMD A10,Steamroller,Kaveri,FM2+,,A10-7850K,,,,,,,,,,,,,,,,,
24,24,48,4.2,5.3,24,128,None,2,350,TRUE,FALSE,Boxed,5nm,TRUE,AMD Ryzen Threadripper 7960X,,,Ryzen Threadripper 7000 Series,Zen 4,Storm Peak,sTR5,DDR5,100-100001352WOF,,,,,,0,0,0,4,2023,,,,,,,
6,6,6,3.6,4.1,3,32,None,128,65,FALSE,TRUE,Boxed,7 nm,FALSE,AMD Ryzen 5 3500 3.6 GHz 6-Core AM4,AMD,AMD Ryzen 5,AMD Ryzen 5,Zen 2,Matisse,AM4,DDR4,,,,,,,,,,,,,,,,,,
18,18,36,3,4.8,,24.75,None,256,165,FALSE,FALSE,Boxed,14 nm,TRUE,Intel Core i9-10980XE Extreme Edition,Intel,,Intel Core i9,Cascade Lake,,LGA 2066,DDR4,,,,,0,,,,,4,2019,6387656,,,,Intel,,
6,6,12,3.4,3.7,5,20,None,0,135,TRUE,FALSE,OEM/Tray,22 nm,TRUE,Intel Xeon E5 2643 V3 3.4 GHz 6-Core LGA2011-3 OEM/Tray,Intel,Intel Xeon E5,Intel Xeon E5,Haswell,Haswell-EP,LGA 2011-3,,,,,,,,,,,,,,,,,,,
6,6,12,4,5,5,12,Intel UHD Graphics 630,128,95,FALSE,FALSE,Boxed,14 nm,TRUE,Intel Core i7 8086K 4 GHz 6-Core LGA1151,Intel,Intel Core i7,Intel Core i7,Coffee Lake,Coffee Lake,LGA 1151,,,,,,,,,,,,,,,,,,,
14,,14,3.4,5,26,24,Intel Xe Graphics,256,65,TRUE,TRUE,Boxed,3 nm,FALSE,Intel Core Ultra 5 235 3.4 GHz 14-Core LGA1851,Intel,Intel Core Ultra 5,Intel Core Ultra 5,Arrow Lake,Arrow Lake,LGA 1851,DDR5,,2.9,4.4,,,,,,,,,,,,,,,
4,4,4,3.4,4.5,1,8,Intel HD Graphics P630,64,71,TRUE,FALSE,OEM/Tray,14 nm,FALSE,Intel Xeon E 2124G 3.4 GHz 4-Core LGA1151,Intel,Intel Xeon E,Intel Xeon E,Coffee Lake,Coffee Lake,LGA 1151,,,,,,,,,,,,,,,,,,,
4,4,8,3.5,3.8,1,10,None,1536,140,TRUE,FALSE,OEM/Tray,14 nm,TRUE,Intel Xeon E5 1620 V4 3.5 GHz 4-Core LGA2011-3 OEM/Tray,Intel,Intel Xeon E5,Intel Xeon E5,Broadwell,Broadwell-EP,LGA 2011-3,,,,,,,,,,,,,,,,,,,
6,6,12,3.7,4.7,3,32,None,128,65,TRUE,TRUE,Boxed,7 nm,TRUE,AMD Ryzen 5 5600XT 3.7 GHz 6-Core AM4,AMD,AMD Ryzen 5,AMD Ryzen 5,Zen 3,Vermeer,AM4,DDR4,10861342,,,,,,,,,,,6609303,,,,,,
2,2,2,3.8,4,1,0,AMD Radeon HD 8370D,0,65,FALSE,TRUE,Boxed,32 nm,FALSE,AMD A4 6320 3.8 GHz 2-Core FM2,AMD,AMD A4,AMD A4,Piledriver,Richland,FM2,,,,,,,,,,,,,,,,,,,
12,12,24,3.5,4.4,12,25,None,128,165,FALSE,FALSE,Boxed,14 nm,TRUE,Intel Core i9 9920X 3.5 GHz 12-Core LGA2066,Intel,Intel Core i9,Intel Core i9,Skylake,Skylake-X,LGA 2066,,,,,,,,,,,,,,,,,,,
14,14,28,3.3,4.8,14,25,None,256,165,FALSE,FALSE,Boxed,14 nm,TRUE,Intel Core i9 10940X 3.3 GHz 14-Core LGA2066,Intel,Intel Core i9,Intel Core i9,Cascade Lake,Cascade Lake-X,LGA 2066,,,,,,,,,,,,,6387647,,,,,,
64,,128,3.2,5.4,64,256,,,350,TRUE,FALSE,Boxed,"TSMC 4nm FinFET, TSMC 6nm FinFET",TRUE,AMD Ryzen Threadripper 9980X,, Ryzen Threadripper 9000 Series,AMD Ryzen Threadripper 9000 Series,Zen 5,Shimada Peak,sTR5,DDR5,100-000001593WOF,,,,, 5120 KB,,,,4,,6644817,100-100001593WOF,9980X,,,,
4,4,8,3.6,3.9,2,16,None,128,65,FALSE,TRUE,Boxed,7 nm,TRUE,AMD Ryzen 3 3100 3.6 GHz 4-Core AM4,AMD,AMD Ryzen 3,AMD Ryzen 3,Zen 2,Matisse,AM4,DDR4,,,,,,,,,,,,6423072,,,,,,
8,,16,4.7,5.2,8,96,AMD Radeon,256,120,TRUE,FALSE,Boxed,4 nm,TRUE,AMD Ryzen 7 9800X3D 4.7 GHz 8-Core AM5,AMD,AMD Ryzen 7,AMD Ryzen 7,Zen 5,Granite Ridge,AM5,DDR5,AMD Ryzen 7 9800X3D,,,,,80 KB (per core),,,,2,2024,6606318,100-100001084WOF,,2025-12-17T16:24:21.537Z,,,
4,4,4,2.7,3.5,1,6,Intel HD Graphics 530,64,35,FALSE,TRUE,Boxed,14 nm,FALSE,Intel Core i5 6600T 2.7 GHz 4-Core LGA1151,Intel,Intel Core i5,Intel Core i5,Skylake,Skylake-S,LGA 1151,,,,,,,,,,,,,,,,,,,
96,,192,2.5,5.4,96,384,,,350,TRUE,FALSE,,"TSMC 4nm FinFET, TSMC 6nm FinFET",FALSE,AMD Ryzen Threadripper PRO 9995WX,AMD,Ryzen Threadripper PRO 9000 WX-Series,AMD Ryzen Threadripper PRO 9000 WX-Series,Zen 5,Shimada Peak,sTR5,DDR5,100-100001361WOF,,,,,7680 KB,,,,8,,,,Pro 9995WX,,,,
14,,14,4.2,5.2,26,24,Intel Xe Graphics,256,125,TRUE,FALSE,Boxed,3 nm,FALSE,Intel Core Ultra 5 245K 4.2 GHz 14-Core LGA1851,Intel,Intel Core Ultra 5,Intel Core Ultra 5,Arrow Lake,Arrow Lake,LGA 1851,DDR5,Intel Core Ultra 5 245K,3.6,4.6,,,,,,,,,6602199,,,,,,
12,12,24,2.5,3.3,3,30,None,0,120,TRUE,FALSE,OEM/Tray,22 nm,TRUE,Intel Xeon E5 2680 V3 2.5 GHz 12-Core LGA2011-3 OEM/Tray,Intel,Intel Xeon E5,Intel Xeon E5,Haswell,Haswell-EP,LGA 2011-3,,,,,,,,,,,,,,,,,,,
6,6,12,3.3,4.8,5,12,Intel UHD Graphics 630,128,65,FALSE,TRUE,Boxed,14 nm,TRUE,Intel Core i5 10600 3.3 GHz 6-Core LGA1200,Intel,Intel Core i5,Intel Core i5,Comet Lake,Comet Lake,LGA 1200,,4807121,,,,,,,,,,,,,,,,,
4,4,4,3,3.7,1,6,Intel HD Graphics 2500,0,65,FALSE,FALSE,OEM/Tray,22 nm,FALSE,Intel Core i5 3550S 3 GHz 4-Core LGA1155 (OEM/Tray),Intel,Intel Core i5,Intel Core i5,Ivy Bridge,Ivy Bridge,LGA 1155,,,,,,,,,,,,,,,,,,,
6,0,12,3.7,5,6,32,None,128,65,TRUE,FALSE,Boxed,"TSMC 5nm FinFET, TSMC 6nm FinFET",TRUE,AMD Ryzen・・｢ 5 7500F,AMD,,Ryzen 7000 Series,Zen 4,,AM5,DDR5,SUJUN666,0,0,,0,384 KB,0,0,0,2,2023,,,,,AMD,,
16,,24,2.1,5.2,24,30,Intel UHD Graphics 770,192,65,TRUE,TRUE,Boxed,10 nm,TRUE,Intel Core i7 13700 2.1 GHz 16-Core LGA1700,Intel,Intel Core i7,Intel Core i7,Raptor Lake,Raptor Lake,LGA 1700,DDR5,i7-13700,1.5,4.1,DDR4,,,,,,,,6530246,,,,,,
24,,32,2,5.6,32,36,Intel UHD Graphics 770,192,65,TRUE,TRUE,Boxed,10 nm,TRUE,Intel Core i9 13900 2 GHz 24-Core LGA1700,Intel,Intel Core i9,Intel Core i9,Raptor Lake,Raptor Lake,LGA 1700,DDR5,,2.2,4.2,DDR4,,,,,,,,6530244,,,,,,
16,16,32,2.1,3,4,40,None,1536,120,TRUE,FALSE,OEM/Tray,14 nm,TRUE,Intel Xeon E5 2683 V4 2.1 GHz 16-Core LGA2011-3 OEM/Tray,Intel,Intel Xeon E5,Intel Xeon E5,Broadwell,Broadwell-EP,LGA 2011-3,,,,,,,,,,,,,,,,,,,
6,6,6,3,4.4,5,9,Intel UHD Graphics 630,128,65,FALSE,FALSE,OEM/Tray,14 nm,FALSE,Intel Core i5 9500 3 GHz 6-Core LGA1151 OEM/Tray,Intel,Intel Core i5,Intel Core i5,Coffee Lake Refresh,Coffee Lake Refresh,LGA 1151,,,,,,,,,,,,,,,,,,,
6,6,6,3.6,4.1,3,32,None,128,65,FALSE,TRUE,Boxed,7 nm,FALSE,AMD Ryzen 5 3500X 3.6 GHz 6-Core AM4,AMD,AMD Ryzen 5,AMD Ryzen 5,Zen 2,Matisse,AM4,DDR4,PIC18F4320-I PT,,,,,,,,,,,,TH8056 TH8056KDC TH8056KDC-AAA-008-RE,,,,,
10,10,20,3.7,5.3,5,20,Intel UHD Graphics 630,128,125,FALSE,FALSE,Boxed,14 nm,TRUE,Intel Core i9 10900K 3.7 GHz 10-Core LGA1200,Intel,Intel Core i9,Intel Core i9,Comet Lake,Comet Lake,LGA 1200,,,,,,,,,,,,,6411492,,,,,,
4,4,8,3.5,3.9,1,8,Intel HD Graphics P4600,0,84,TRUE,TRUE,Boxed,22 nm,TRUE,Intel Xeon E3 1246 V3 3.5 GHz 4-Core LGA1150,Intel,Intel Xeon E3,Intel Xeon E3,Haswell Refresh,Haswell Refresh,LGA 1150,,,,,,,,,,,,,,,,,,,
16,16,32,2.1,3,4,40,None,1536,120,TRUE,FALSE,Boxed,14 nm,TRUE,Intel Xeon E5 2683 V4 2.1 GHz 16-Core LGA2011-3,Intel,Intel Xeon E5,Intel Xeon E5,Broadwell,Broadwell-EP,LGA 2011-3,,,,,,,,,,,,,,,,,,,
4,4,4,3.7,4.4,1,8,None,64,62,TRUE,FALSE,OEM/Tray,14 nm,FALSE,Intel Core i3 9320 3.7 GHz 4-Core LGA1151 OEM/Tray,Intel,Intel Core i3,Intel Core i3,Coffee Lake Refresh,Coffee Lake Refresh,LGA 1151,,,,,,,,,,,,,,,,,,,
16,,24,3.4,5.4,24,30,None,192,125,FALSE,FALSE,Boxed,10 nm,TRUE,Intel Core i7 13700KF 3.4 GHz 16-Core LGA1700,Intel,Intel Core i7,Intel Core i7,Raptor Lake,Raptor Lake,LGA 1700,DDR5,Lago Raptor 13700,2.5,4.2,DDR4,,,,,,,,6521195,i7-13700KF,,,,,
16,,24,3.2,5.2,14,30,None,128,125,FALSE,FALSE,Boxed,10 nm,TRUE,Intel Core i9 12900KF 3.2 GHz 16-Core LGA1700,Intel,Intel Core i9,Intel Core i9,Alder Lake,Alder Lake,LGA 1700,DDR5,,2.4,3.9,DDR4,,,,,,,,6483666,,,,,,
16,,24,3.4,5.5,14,30,Intel UHD Graphics 770,128,150,FALSE,FALSE,Boxed,10 nm,TRUE,Intel Core i9 12900KS 3.4 GHz 16-Core LGA1700,Intel,Intel Core i9,Intel Core i9,Alder Lake,Alder Lake,LGA 1700,DDR5,,2.5,4,DDR4,,,,,,,,6501867,,,,,,
4,4,8,3.8,4.2,1,8,Intel HD Graphics P630,64,73,TRUE,TRUE,Boxed,14 nm,TRUE,Intel Xeon E3 1275 V6 3.8 GHz 4-Core LGA1151,Intel,Intel Xeon E3,Intel Xeon E3,Kaby Lake,Kaby Lake-S,LGA 1151,,,,,,,,,,,,,,,,,,,
4,4,4,3.8,4,2,0,None,0,65,FALSE,FALSE,OEM/Tray,28 nm,FALSE,AMD Athlon X4 970 3.8 GHz 4-Core AM4,AMD,AMD Athlon X4,AMD Athlon X4,Excavator,Bristol Ridge,AM4,DDR4,,,,,,,,,,,,,,,,,,
4,4,4,2.7,3.3,1,6,Intel HD Graphics 530,64,65,FALSE,TRUE,Boxed,14 nm,FALSE,Intel Core i5 6400 2.7 GHz 4-Core LGA1151,Intel,Intel Core i5,Intel Core i5,Skylake,Skylake-S,LGA 1151,,,,,,,,,,,,,,,,,,,
6,6,12,2.1,2.6,5,15,None,0,80,TRUE,FALSE,Boxed,22 nm,TRUE,Intel Xeon E5 2620 V2 2.1 GHz 6-Core LGA2011,Intel,Intel Xeon E5,Intel Xeon E5,Ivy Bridge,Ivy Bridge-EP,LGA 2011,,,,,,,,,,,,,,,,,,,
14,14,28,2,3,5,35,None,0,120,TRUE,FALSE,Boxed,22 nm,TRUE,Intel Xeon E5 2683 V3 2 GHz 14-Core LGA2011-3,Intel,Intel Xeon E5,Intel Xeon E5,Haswell,Haswell-EP,LGA 2011-3,,,,,,,,,,,,,,,,,,,
