metadata/name,metadata/manufacturer,metadata/part_numbers/0,metadata/part_numbers/1,metadata/series,metadata/variant,capacity,form_factor,interface,nvme,storage_type,type,cache,metadata/releaseYear,metadata/part_numbers/2,metadata/part_numbers/3,metadata/part_numbers/4,metadata/part_numbers/5
"Gigabyte GP-GSTFS31480GNTD 480 GB SSD 2.5"" SATA 6.0 Gb/s",Gigabyte,GP-GSTFS31480GNTD,,GP-GSTFS31480GNTD,480GB,480,"2.5""",SATA 6.0 Gb/s,FALSE,SSD,SSD,,,,,,
ADATA LEGEND 900 PRO 1TB SSD M.2-2280 PCIe 4.0 x4 NVMe,ADATA,SLEG-900P-1TCS,,LEGEND,1000GB,1000,M.2-2280,M.2 PCIe 4.0 x4,TRUE,SSD,SSD,,,,,,
Western Digital Black SN750 2TB SSD M.2-2280 PCIe 3.0 x4 NVMe,Western Digital,WDS200T3XHC                                                    WDS200T3XHC-00SJG0,WDS200T3XHC,Black,2000GB,2000,M.2-2280,M.2 PCIe 3.0 x4,TRUE,SSD,SSD,,,WDS200T3XHC-00SJG0,,,
"Klevv NEO N400 240GB SSD 2.5"" SATA 6.0 Gb/s",Klevv,K240GSSDS3-N40,,NEO,240GB,240,"2.5""",SATA 6.0 Gb/s,FALSE,SSD,SSD,,,,,,
KingSpec NX-2280 1TB SSD M.2-2280 PCIe 3.0 NVMe,KingSpec,NX-2280-1TB                                                    NX-1TB-2280,1 tb,NX-2280,1000GB,1000,M.2-2280,M.2 PCIe 3.0 x4,TRUE,SSD,SSD,,,,,,
Corsair Neutron NX500 800GB SSD PCIe PCIe x1 NVMe,Corsair,CSSD-N800GBNX500,,Neutron,800GB,800,PCIe,M.2 PCIe x1,TRUE,SSD,SSD,,,,,,
Samsung PM961 512GB M.2-2280 SSD PCIe 3.0 NVMe,Samsung,MZVLW512HMJP-00000,,PM961,512GB,512,M.2-2280,M.2 PCIe 3.0 x4,TRUE,SSD,SSD,,,,,,
"Toshiba V300 2TB HDD 3.5"" 5700RPM SATA 6.0 Gb/s",Toshiba,HDWU120UZSVA,,V300,2000GB,2000,"3.5""",SATA 6.0 Gb/s,FALSE,HDD,HDD,,,,,,
"Seagate SkyHawk Surveillance +Rescue 2TB HDD 5400 RPM 3.5"" SATA 6.0 Gb/s",Seagate,ST2000VX017,,SkyHawk,2000GB,2000,"3.5""",SATA 6.0 Gb/s,FALSE,HDD,HDD,256,,,,,
Corsair MP400 4TB M.2-2280 SSD PCIe 3.0 X4 NVMe,Corsair,CSSD-F4000GBMP400,,MP400,4000GB,4000,M.2-2280,M.2 PCIe 3.0 x4,TRUE,SSD,SSD,,,,,,
"Corsair Force Series LS 60GB SSD 2.5"" SATA",Corsair,CSSD-F60GBLS,,Force,60GB,60,"2.5""",SATA 6.0 Gb/s,FALSE,SSD,SSD,,,,,,
"Seagate IronWolf NAS 2TB HDD 3.5"" SATA",Seagate,ST2000VN004,,IronWolf,2000GB,2000,"3.5""",SATA 6.0 Gb/s,FALSE,HDD,HDD,,,,,,
ADATA LEGEND 850 LITE 1TB SSD M.2-2280 PCIe 4.0 x4 NVMe,ADATA,ALEG-850L-1000GCS,850 LITE,LEGEND,1000GB,1000,M.2-2280,M.2 PCIe 4.0 x4,TRUE,SSD,SSD,,,,,,
MSI SPATIUM M482 2TB M.2 SSD PCIe 4.0 NVMe Eco-Pack,MSI,M482-NVMe-M2-2TB-Bulk,,SPATIUM,2000GB,2000,M.2-2280,M.2 PCIe 4.0 x4,TRUE,SSD,SSD,,,,,,
TEAMGROUP MP33 PRO 512GB SSD M.2-2280 PCIe 3.0 x4 NVMe,TEAMGROUP,TM8FPD512G0C101,,MP33,512GB,512,M.2-2280,M.2 PCIe 3.0 x4,TRUE,SSD,SSD,,,,,,
Orico D10 256 GB SSD M.2-2230 PCIe 3.0 X4 NVME,Orico,D10-2230,,D10,256GB,256,M.2-2230,M.2 PCIe 3.0 x4,TRUE,SSD,SSD,,,,,,
"Western Digital Blue 4TB HDD 5400 RPM 3.5"" SATA Internal",Western Digital,WD40EZAZ,,Blue,4000GB,4000,"3.5""",SATA 6.0 Gb/s,FALSE,HDD,HDD,,,,,,
"TEAMGROUP T-Force Vulcan Z 256GB SSD 2.5"" SATA 6.0 Gb/s",TEAMGROUP,T253TZ256G0C101,,T-Force,256GB,256,"2.5""",SATA 6.0 Gb/s,FALSE,SSD,SSD,,,,,,
Patriot VP4000 Mini 2TB SSD M.2-2230 PCIe 4.0 X4 NVMe,Patriot,VP4000M2TBM23,,VP4000,2000GB,2000,M.2-2230,M.2 PCIe 4.0 x4,TRUE,SSD,SSD,,,,,,
HP EX920 256GB M.2 SSD PCIe 3.0 NVMe,HP,2YY45AA#ABC,,EX920,256GB,256,M.2-2280,M.2 PCIe 3.0 x4,TRUE,SSD,SSD,,,,,,
"AMD Radeon R3 240GB SSD 2.5"" SATA 6Gb/s",AMD,R3 240GB                                                    SSDR3SL240G,,Radeon,240GB,240,"2.5""",SATA 6.0 Gb/s,FALSE,SSD,SSD,,,,,,
Patriot P300 256GB M.2-2280 SSD PCIe 3.0 X4 NVMe,Patriot,P300P256GM28US,P300P256GM28,P300,256GB,256,M.2-2280,M.2 PCIe 3.0 x4,TRUE,SSD,SSD,,,,,,
Western Digital Red SN700 4TB SSD M.2 PCIe 3.0 NVMe,Western Digital,WDS400T1R0C,WDS400T1R0C-68BDK0,Red,4000GB,4000,M.2-2280,M.2 PCIe 3.0 x4,TRUE,SSD,SSD,,,,,,
ADATA LEGEND 850 LITE 500GB SSD M.2-2280 PCIe 4.0 X4 NVMe,ADATA,ALEG-850L-500GCS,850 LITE,LEGEND,500GB,500,M.2-2280,M.2 PCIe 4.0 x4,TRUE,SSD,SSD,,,,,,
Western Digital Blue SN580 500GB SSD M.2-2280 PCIe 4.0 x4 NVMe,Western Digital,WDS500G3B0E                                                    WDS500G3B0E-00CHF0,WDS500G3B0E,Blue,500GB,500,M.2-2280,M.2 PCIe 4.0 x4,TRUE,SSD,SSD,,,,,,
"KIOXIA EXCERIA 480GB SSD 2.5"" SATA 6.0 Gb/s",KIOXIA,LTC10Z480GG8,,EXCERIA,480GB,480,"2.5""",SATA 6.0 Gb/s,FALSE,SSD,SSD,,,,,,
MSI SPATIUM M470 PRO 2TB SSD M.2-2280 PCIe 4.0 X4 NVMe,MSI,S78-440Q990-P83,SPATIUM M470 PRO PCIe 4.0 NVMe M.2 2TB,SPATIUM,2000GB,2000,M.2-2280,M.2 PCIe 4.0 x4,TRUE,SSD,SSD,,,SM470PN2TB,,,
"Seagate ST6000NM0024 6TB HDD 3.5"" SATA",Seagate,ST6000NM0024,,ST6000NM0024,6000GB,6000,"3.5""",SATA 6.0 Gb/s,FALSE,HDD,HDD,,,,,,
"Apacer AS350 PANTHER 512GB SSD 2.5"" SATA",Apacer,AP512GAS350-1,,AS350,512GB,512,"2.5""",SATA 6.0 Gb/s,FALSE,SSD,SSD,,,,,,
Kingston Predator 480GB SSD M.2-2280 PCIe 2.0 x4 NVMe,Kingston,SHPM2280P2,480G,Predator,480GB,480,M.2-2280,M.2 PCIe 2.0 x4,TRUE,SSD,SSD,,,,,,
KingSpec XF 4 TB M.2-2280 PCIe 4.0 X4 NVME,KingSpec,XF-4TB-2280,,XF,4000GB,4000,M.2-2280,M.2 PCIe 4.0 x4,TRUE,SSD,SSD,,,,,,
"Seagate Barracuda Compute 2TB 3.5"" HDD 7200RPM SATA",Seagate,ST2000DM008,,Barracuda,2000GB,2000,"3.5""",SATA 6.0 Gb/s,FALSE,HDD,HDD,,,,,,
"Toshiba Q300 480 GB SSD 2.5"" SATA 6.0 Gb/s",Toshiba,HDTS748XZSTA,,Q300,480GB,480,"2.5""",SATA 6.0 Gb/s,FALSE,SSD,SSD,,,,,,
Oyen Digital Dash Pro w/Heat Sink 8TB M.2-2280 SSD PCIe 4.0 X4 NVMe,Oyen Digital,PS5-8T-2280,,Dash,8000GB,8000,M.2-2280,M.2 PCIe 4.0 x4,TRUE,SSD,SSD,,,,,,
ADATA XPG SX8000 128GB M.2-2280 SSD PCIe 3.0 X4 NVMe,ADATA,ASX8000NP-128GM-C,,XPG,128GB,128,M.2-2280,M.2 PCIe 3.0 x4,TRUE,SSD,SSD,,,,,,
Lexar NM710 1TB SSD M.2-2280 PCIe 4.0 x4 NVMe,Lexar,LNM710X001T-RNNNG                                                    LNM710X001T-RNNNU,LNM710X001T-RNNNU,NM710,1000GB,1000,M.2-2280,M.2 PCIe 4.0 x4,TRUE,SSD,SSD,,,,,,
"Intel 545s 512GB SSD 2.5"" SATA",Intel,SSDSC2KW512G8X1,,545s,512GB,512,"2.5""",SATA 6.0 Gb/s,FALSE,SSD,SSD,,,,,,
Silicon Power A55 1TB SSD M.2-2280 SATA,Silicon Power,SU001TBSS3A55M28AB                                                    FBA-SU001TBSS3A55M28AB,FBA-SU001TBSS3A55M28AB,A55,1000GB,1000,M.2-2280,M.2 SATA,FALSE,SSD,SSD,,,,,,
"Western Digital Red 2TB 3.5"" HDD 5400 RPM SATA 6.0 Gb/s",Western Digital,WD20EFRX,X340H11G,Red,2000GB,2000,"3.5""",SATA 6.0 Gb/s,FALSE,HDD,HDD,,,,,,
ADATA ATOM 50 1TB SSD M.2-2280 PCIe 4.0 x4 NVMe,ADATA,AATO-50-1TCI,,ATOM,1000GB,1000,M.2-2280,M.2 PCIe 4.0 x4,TRUE,SSD,SSD,,,,,,
ADATA XPG MARS 980 STORM 2TB SSD M.2-2280 PCIe 5.0 x4 NVMe,ADATA,SMAR-980S-2TCI,,XPG,2000GB,2000,M.2-2280,M.2 PCIe 5.0 x4,TRUE,SSD,SSD,,,,,,
"Seagate Surveillance 1TB HDD 3.5"" 5400RPM SATA",Seagate,ST1000VX001,,Surveillance,1000GB,1000,"3.5""",SATA 6.0 Gb/s,FALSE,HDD,HDD,,,,,,
"Toshiba S300 4TB HDD 3.5"" 5400RPM SATA",Toshiba,HDWT840UZSVA,,S300,4000GB,4000,"3.5""",SATA 6.0 Gb/s,FALSE,HDD,HDD,,,,,,
Western Digital Black SN850 2TB SSD M.2 PCIe 4.0 NVMe,Western Digital,WDS200T1X0E,,Black,2000GB,2000,M.2-2280,M.2 PCIe 4.0 x4,TRUE,SSD,SSD,,,,,,
